rank,enr_contractor_name,search_term,procore_company_name,location,city,state,address,profile_url,joined_date,total_projects,active_projects,avg_project_size,procore_users,business_types,market_sectors,match_confidence
2,BECHTEL,BECHTEL,Bechtel,"Reston, VA",Reston,VA,"12011 Sunset Hills Rd Reston, VA 20190",https://network.procore.com/p/bechtel-reston,May 2023,1,1,85860000,1,"Engineer, General Contractor","Healthcare, Industrial and Energy, Infrastructure",1.0
2,BECHTEL,BECHTEL,Bechtel,"Houston, TX",Houston,TX,"2105 CityWest Blvd Houston, TX 77042",https://network.procore.com/p/bechtel-houston,June 2024,,,,1,"Architect, Consultant, Engineer, General Contractor, Owner Real Estate Developer, Supplier","Commercial, Infrastructure, Institutional, Residential",1.0
2,BECHTEL,BECHTEL,Bechtel,"Port Isabel, TX",Port Isabel,TX,"48326 TX-48 Port Isabel, TX 78578",https://network.procore.com/p/bechtel-port-isabel,February 2024,11,11,7677399,1,"Engineer, Specialty Contractor","Industrial and Energy, Infrastructure",1.0
2,BECHTEL,BECHTEL,BECHTEL CORP.,"Houston, TX",Houston,TX,"3000 Post Oak Blvd Houston, TX 77056",https://network.procore.com/p/bechtel-corp-houston,March 2024,,,,1,"Engineer, General Contractor",Industrial and Energy,1.0
3,MASTEC INC.,MASTEC,MasTec,"Yatesville, GA",Yatesville,GA,"6600 Yatesville Hwy Yatesville, GA 31097",https://network.procore.com/p/mastec-yatesville,January 2024,,,,1,General Contractor,Industrial and Energy,1.0
3,MASTEC INC.,MASTEC,MASTEC,"Benicia, CA",Benicia,CA,"4345 Industrial Way Benicia, CA 94510",https://network.procore.com/p/mastec-benicia,October 2024,,,,1,General Contractor,Commercial,1.0
3,MASTEC INC.,MASTEC,MasTec,"Northlake, TX",Northlake,TX,"4351 Cleveland Gibbs Rd Northlake, TX 76226",https://network.procore.com/p/mastec-northlake,June 2024,4,4,36204400,3,General Contractor,Industrial and Energy,1.0
3,MASTEC INC.,MASTEC,Mastec,"Miami, FL",Miami,FL,"800 Douglas Rd Miami, FL 33134",https://network.procore.com/p/mastec-miami,January 2024,15,13,43601784,1,General Contractor,Industrial and Energy,1.0
3,MASTEC INC.,MASTEC,Mastec,"Phoenix, AZ",Phoenix,AZ,"7878 N 16th St Phoenix, AZ 85020",https://network.procore.com/p/mastec-phoenix,January 2024,537,419,138794273,1,General Contractor,Industrial and Energy,1.0
4,KIEWIT CORP.,KIEWIT,Kiewit,"Boulder, CO",Boulder,CO,"1749 Athens St Boulder, CO 80302",https://network.procore.com/p/kiewit-boulder,January 2025,2,2,410273,2,General Contractor,Commercial,1.0
4,KIEWIT CORP.,KIEWIT,Kiewit,"McLean, VA",McLean,VA,"8200 Greensboro Dr McLean, VA 22102",https://network.procore.com/p/kiewit-mclean,September 2023,1,1,111941200,1,General Contractor,Infrastructure,1.0
4,KIEWIT CORP.,KIEWIT,Kiewit,"Fairfield, CA",Fairfield,CA,"4650 Business Center Dr Fairfield, CA 94534",https://network.procore.com/p/kiewit-fairfield,April 2023,,,,1,General Contractor,Infrastructure,1.0
4,KIEWIT CORP.,KIEWIT,Kiewit,"Everett, WA",Everett,WA,"3003 W Casino Rd Everett, WA 98204",https://network.procore.com/p/kiewit-everett,June 2024,17,14,4192892,1,General Contractor,Industrial and Energy,1.0
4,KIEWIT CORP.,KIEWIT,Kiewit,"The Woodlands, TX",The Woodlands,TX,"3831 Technology Forest Blvd The Woodlands, TX 77381",https://network.procore.com/p/kiewit-the-woodlands,November 2023,2,2,111941200,1,Engineer,Infrastructure,1.0
4,KIEWIT CORP.,KIEWIT,Kiewit,"Woodcliff Lake, NJ",Woodcliff Lake,NJ,"470 Chestnut Ridge Rd Woodcliff Lake, NJ 07677",https://network.procore.com/p/kiewit-woodcliff-lake,February 2023,1,1,,1,General Contractor,Infrastructure,1.0
4,KIEWIT CORP.,KIEWIT,Kiewit,"Lone Tree, CO",Lone Tree,CO,"10055 Trainstation Cir Lone Tree, CO 80124",https://network.procore.com/p/kiewit-lone-tree-1,October 2023,1,1,,1,"Engineer, General Contractor",Infrastructure,1.0
4,KIEWIT CORP.,KIEWIT,Kiewit,"Lenexa, KS",Lenexa,KS,"8880 Penrose Ln Lenexa, KS 66219",https://network.procore.com/p/kiewit-lenexa-1,September 2023,1,1,38000000,1,Engineer,Industrial and Energy,1.0
4,KIEWIT CORP.,KIEWIT,Kiewit,"Federal Way, WA",Federal Way,WA,"33455 6th Ave S Federal Way, WA 98003",https://network.procore.com/p/kiewit-federal-way,June 2023,,,,1,Specialty Contractor,Infrastructure,1.0
4,KIEWIT CORP.,KIEWIT,Kiewit,"Lenexa, KS",Lenexa,KS,"8900 Renner Blvd Lenexa, KS 66219",https://network.procore.com/p/kiewit-lenexa,May 2023,2,1,1000000000,1,General Contractor,Industrial and Energy,1.0
4,KIEWIT CORP.,KIEWIT,Kiewit,"Las Vegas, NV",Las Vegas,NV,"4285 Polaris Ave Las Vegas, NV 89103",https://network.procore.com/p/kiewit-las-vegas,August 2023,2,,3881169,1,"Engineer, General Contractor, Specialty Contractor","Industrial and Energy, Infrastructure",1.0
4,KIEWIT CORP.,KIEWIT,Kiewit,"Hyattsville, MD",Hyattsville,MD,"8100 Professional Pl Hyattsville, MD 20785",https://network.procore.com/p/kiewit-hyattsville,April 2025,1,1,971159,1,General Contractor,Infrastructure,1.0
4,KIEWIT CORP.,KIEWIT,Kiewit,"Omaha, NE",Omaha,NE,"1550 Mike Fahey St Omaha, NE 68102",https://network.procore.com/p/kiewit-omaha,July 2023,1,1,178414225,1,Engineer,Infrastructure,1.0
